Earth x,Earth y,Earth z,Earth_anomaly x,Earth_anomaly y,Earth_anomaly z
-1394.70384,-407.5044047,396.4522262,-6975.307573,-2308.961335,2695.343581
-1399.466,-406.6489554,380.8417099,-9407.067174,-3097.605709,3512.764524
-1404.061487,-405.7450777,365.1832006,-11335.25981,-3713.04544,4086.763476
-1408.489681,-404.7928584,349.4786526,-9799.346943,-3193.232229,3407.834387
-1412.749985,-403.7923915,333.7300302,-10493.83614,-3401.804242,3516.389649
-1416.841826,-402.7437779,317.9393053,-11384.96854,-3671.597222,3671.880799
-1420.764654,-401.6471256,302.108458,-9599.911716,-3079.955862,2976.400966
-1424.517944,-400.5025495,286.2394738,-8021.332359,-2560.254477,2387.635085
-1428.101195,-399.3101717,270.334347,-11384.19193,-3614.955325,3248.642263
-1431.513931,-398.0701211,254.395079,-13899.61253,-4391.083353,3796.704898
-1434.7557,-396.7825337,238.4236741,-13945.64223,-4383.079587,3640.085397
-1437.826074,-395.4475522,222.4221434,-8725.336782,-2728.336337,2172.293546
-1440.724651,-394.0653268,206.3925064,-14032.7107,-4365.506184,3325.48932
-1443.451052,-392.6360141,190.3367852,-7036.868877,-2177.969117,1583.776056
-1446.004926,-391.1597779,174.2570059,-11220.27195,-3455.064819,2392.404649
-1448.385944,-389.6367886,158.1551986,-7727.409781,-2367.380643,1556.59373
-1450.593804,-388.0672239,142.0333992,-14186.72498,-4324.121104,2691.421588
-1452.628228,-386.4512678,125.893645,-13172.43772,-3994.505851,2345.310667
-1454.488964,-384.7891113,109.7379752,-14253.5886,-4300.326556,2372.268401
-1456.175786,-383.0809523,93.56843525,-14284.46845,-4287.658122,2212.232152
-1457.688492,-381.3269955,77.38707047,-13108.46383,-3914.575667,1879.149418
-1459.026907,-379.5274517,61.19592644,-7170.552027,-2130.392991,945.6706015
-1460.190879,-377.682539,44.99705213,-14366.85246,-4246.585323,1730.527004
-1461.180285,-375.7924818,28.79249733,-14390.88345,-4231.877093,1569.494071
-1461.995025,-373.8575109,12.58431017,-7206.59699,-2108.331499,704.1313615
-1462.635024,-371.8778639,-3.625458413,-7216.890629,-2100.472411,623.4266777
-1463.100236,-369.8537846,-19.83476068,-7226.321367,-2092.362212,542.643192
-1463.390637,-367.7855235,-36.04154689,-7234.888057,-2084.001866,461.7911179
-1463.506229,-365.673337,-52.24377133,-10878.18414,-3117.186171,572.0730162
-1463.447043,-363.5174881,-68.43938782,-14498.85068,-4133.069548,599.8442289
-1463.21313,-361.3182463,-84.62635151,-13603.84928,-3857.677265,410.4851705
-1462.804571,-359.0758864,-100.8026242,-9277.081679,-2616.928928,176.2034201
-1462.221471,-356.7906901,-116.9661664,-7264.729514,-2038.484249,56.86009817
-1461.463958,-354.462945,-133.1149425,-14536.18985,-4057.290635,-48.37704313
-1460.532189,-352.0929442,-149.2469233,-10037.1817,-2786.663625,-145.2774649
-1459.426344,-349.6809875,-165.360079,-14544.44003,-4016.483126,-372.5324389
-1458.146628,-347.2273798,-181.452389,-14545.95913,-3995.358554,-534.5496434
-1456.693271,-344.7324323,-197.5218339,-14545.74112,-3973.756935,-696.4992335
-1455.066531,-342.1964615,-213.5664026,-13532.88553,-3677.009851,-798.6983519
-1453.266685,-339.6197897,-229.5840875,-12526.05029,-3384.882954,-878.8111088
-1451.29404,-337.0027448,-245.5728869,-13442.38185,-3612.570256,-1092.929866
-1449.148925,-334.3456602,-261.5308069,-7263.755914,-1941.317584,-671.6066385
-1446.831695,-331.6488743,-277.4558606,-14416.2864,-3831.492328,-1493.914324
-1444.342726,-328.9127312,-293.3460665,-7253.999722,-1917.142801,-832.8173968
-1441.682422,-326.1375804,-309.199451,-14230.19695,-3739.663834,-1793.09203
-1438.851209,-323.3237759,-325.0140502,-12912.34505,-3374.0618,-1771.88094
-1435.849538,-320.4716775,-340.7879051,-13895.98848,-3610.308371,-2063.049449
-1432.677882,-317.5816491,-356.5190701,-9329.963439,-2410.025042,-1490.260522
-1429.336738,-314.6540602,-372.2056052,-14429.01614,-3705.476099,-2467.661973
-1425.826629,-311.689285,-387.8455788,-8924.128567,-2278.330911,-1627.256729
-1422.148097,-308.6877022,-403.4370712,-10441.95311,-2650.046322,-2022.598367
-1418.30171,-305.6496955,-418.9781713,-9216.014734,-2324.939773,-1890.120242
-1414.288058,-302.5756525,-434.4669796,-8869.319276,-2223.979222,-1920.394957
-1410.107752,-299.4659657,-449.9016065,-10305.54551,-2568.368535,-2349.591463
-1405.761427,-296.3210316,-465.2801749,-8161.017608,-2021.38734,-1954.638367
-1401.249741,-293.1412516,-480.6008146,-7123.275689,-1753.378559,-1788.460241
-1396.573371,-289.9270306,-495.8616721,-8513.760747,-2082.470134,-2236.451217
-1391.733019,-286.678778,-511.0609013,-14179.18262,-3446.191723,-3890.114431
-1386.729405,-283.3969065,-526.1966739,-13867.81525,-3348.848088,-3967.272188
-1381.563273,-280.0818338,-541.2671672,-13973.80911,-3352.496618,-4162.252629
-1376.235387,-276.7339804,-556.2705762,-9279.063142,-2211.512846,-2873.791801
-1370.746531,-273.3537705,-571.2051084,-7944.932157,-1880.925502,-2555.24328
-1365.097512,-269.9416331,-586.0689805,-11541.54082,-2713.964078,-3850.267364
-1359.289154,-266.497999,-600.8604288,-11009.37351,-2571.12478,-3805.446348
-1353.322302,-263.0233034,-615.5776991,-10860.75953,-2518.841158,-3885.824254
-1347.197821,-259.5179846,-630.2190532,-9652.694641,-2222.938039,-3571.458777
-1340.916598,-255.9824845,-644.7827643,-6896.90861,-1576.986422,-2636.617997
-1334.479534,-252.4172476,-659.2671231,-8375.344892,-1901.190351,-3305.503823
-1327.887552,-248.8227208,-673.6704365,-7616.663542,-1716.28727,-3101.068846
-1321.141594,-245.1993555,-687.991021,-12069.29953,-2699.358424,-5065.599491
-1314.242619,-241.5476047,-702.2272124,-6790.110717,-1507.153855,-2935.875387
-1307.191604,-237.8679243,-716.3773613,-8128.392744,-1790.335909,-3618.30458
